"name","type","n","missing","unique","mean","median","mode","mode_value","sd","v","min","max","range","skew","skew_2se","kurt","kurt_2se","category","description"
"grant_university","numeric",2163,0,2,0.0896902450300509,0,0,NA,0.285803549732778,NA,0,1,1,2.86994378200305,27.2644600988105,6.23946258663163,29.6510954701644,NA,NA
"grant_foundation","numeric",2163,0,2,0.0938511326860841,0,0,NA,0.291688931847623,NA,0,1,1,2.78352074350323,26.4434414086284,5.75064701465541,27.3281522694112,NA,NA
"grant_private","numeric",2163,0,2,0.0707350901525659,0,0,NA,0.256441105004842,NA,0,1,1,3.34631572985189,31.7899926356368,9.202083920243,43.7300272347476,NA,NA
"nogrant_want","numeric",2163,0,2,0.00554785020804438,0,0,NA,0.0742941680288607,NA,0,1,1,13.3045047105571,126.392767722526,175.090794359351,832.064266339121,NA,NA
"nogrant_necessary","numeric",2163,0,2,0.0106333795654184,0,0,NA,0.102592284374283,NA,0,1,1,9.53561720602342,90.5883440858563,88.9691284240692,422.797970846322,NA,NA
"nogrant_early","numeric",2163,0,2,0.029126213592233,0,0,NA,0.168199158063334,NA,0,1,1,5.59641435851963,53.1659250369617,29.3334157630962,139.397888709376,NA,NA
"nogrant_education","numeric",2163,0,2,0.00277392510402219,0,0,NA,0.052607128044405,NA,0,1,1,18.8946333087998,179.498978049627,355.171371645805,1687.84091621972,NA,NA
"nogrant_time","numeric",2163,0,2,0.0110957004160888,0,0,NA,0.104774333927542,NA,0,1,1,9.32820568957624,88.6179351009594,85.0547446100472,404.1960854171,NA,NA
"nogrant_waste","numeric",2163,0,2,0.0120203421174295,0,0,NA,0.109001589378433,NA,0,1,1,8.94948518628733,85.0200910890758,78.1294065944183,371.285581377132,NA,NA
"successful_applications","ordered, factor",915,0.576976421636616,6,NA,NA,1248,NA,NA,0.761871659350832,NA,NA,NA,NA,NA,NA,NA,NA,NA
"body_nwo","numeric",2163,0,2,0.154877484974572,0,0,NA,0.361871511722154,NA,0,1,1,1.90654940505822,18.112215474946,1.63568748748139,7.77309346394313,NA,NA
