version;project;1481-maximum-kosten-van-deze-keuze;1482-maximum-aantal-phd-equivalenten-per-jaar;1483-maximum-aantal-tenure-track-positie-equivalenten-per-jaar;1484-maximum-jaarlijks-aantal-fte-besteed-aan-schrijven-voorstellen;1706-maximum-jaarlijks-budget-verdeeld-niet-op-basis-van-competitite;1707-maximum-jaarlijks-budget-verdeeld-op-basis-van-competitie;1708-gemiddelde-succeskans-per-voorstel;1776-aantal-weken-besteed-per-ingediend-voorstel
7;1874-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;500;0;625;0;50;1;1
7;1875-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;200;2000;0;167;0;200;60;1
7;1876-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;200;0;1000;938;0;200;8;3
7;1877-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;550;5500;0;0;550;0;100;0
7;1878-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;550;5500;0;0;550;0;100;0
7;2494-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;200;2000;0;1714;0;200;35;3
8;1869-geld-naar-persoonlijke-beurzen-voor-gevestigde-onderzoekers-via-competitie;200;2000;0;1600;0;200;25;4
8;1870-geld-voor-kleinere-beurzen-50k-100k-via-nwo;200;2000;0;500;0;200;40;2
8;1871-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;200;0;1000;400;0;200;25;4
8;1872-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;550;3300;1100;3080;0;550;25;4
8;1873-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;550;4950;1650;4125;0;550;35;5
8;1874-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;500;0;625;0;50;1;1
8;1875-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;200;2000;0;167;0;200;60;1
8;1876-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;200;0;1000;1250;0;200;8;4
8;1877-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;550;5500;0;138;550;0;100;1
8;1878-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;550;5500;0;138;550;0;100;1
8;2494-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;200;2000;0;2286;0;200;35;4
9;1869-geld-naar-persoonlijke-beurzen-voor-gevestigde-onderzoekers-via-competitie;200;2000;0;2400;0;200;25;6
9;1870-geld-voor-kleinere-beurzen-50k-100k-via-nwo;200;2000;0;500;0;200;40;2
9;1871-geld-naar-persoonlijke-beurzen-voor-recent-gepromoveerden;200;0;1000;600;0;200;25;6
9;1872-geld-naar-thematisch-onderzoek-zonder-in-cash-cofinanciering;550;3300;1100;6160;0;550;25;8
9;1873-geld-naar-thematisch-onderzoek-met-in-cash-cofinanciering;550;4950;1650;8250;0;550;35;10
9;1874-geld-naar-grote-prijzen-voor-prestaties-in-wetenschap-onderwijs-en-maatschappelijke-bijdragen;50;500;0;625;0;50;1;1
9;1875-geld-voor-kleinere-beurzen-50k-100k-via-de-universiteit;200;2000;0;167;0;200;60;1
9;1876-geld-naar-universiteiten-voor-vaste-posities-voor-startende-onderzoekers-via-benoemingscommissies;200;0;1000;1563;0;200;8;5
9;1877-uds-en-uhds-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;550;5500;0;138;550;0;100;1
9;1878-hoogleraren-ontvangen-geld-via-universiteit-voor-eigen-onderzoek-rolling-grant;550;5500;0;138;550;0;100;1
9;2494-geld-naar-team-beurzen-voor-onderzoeksgroepen-met-meer-dan-twee-hoofdonderzoekers-via-competitie;200;2000;0;3429;0;200;35;6
